,REGIÃO,ESTADO,VALOR REVENDA (R$/L),DATA,ANO
278,CENTRO OESTE,MATO GROSSO,2.511,2004-07-21,2004
279,NORDESTE,RIO GRANDE DO NORTE,2.099,2004-07-21,2004
280,NORDESTE,SERGIPE,2.103,2004-07-21,2004
281,NORTE,AMAPA,2.4,2004-07-21,2004
282,SUL,SANTA CATARINA,2.186,2004-07-21,2004
283,SUL,RIO GRANDE DO SUL,2.277,2004-07-21,2004
284,SUL,PARANA,2.091,2004-07-21,2004
285,SUDESTE,SAO PAULO,2.03,2004-07-21,2004
286,SUDESTE,RIO DE JANEIRO,2.154,2004-07-21,2004
287,SUDESTE,MINAS GERAIS,2.102,2004-07-21,2004
288,SUDESTE,ESPIRITO SANTO,2.133,2004-07-21,2004
289,NORTE,TOCANTINS,2.22,2004-07-21,2004
290,NORTE,RORAIMA,2.076,2004-07-21,2004
291,NORTE,RONDONIA,2.46,2004-07-21,2004
292,NORTE,PARA,2.42,2004-07-21,2004
293,NORTE,AMAZONAS,2.196,2004-07-21,2004
294,NORTE,ACRE,2.538,2004-07-21,2004
295,CENTRO OESTE,GOIAS,2.097,2004-07-21,2004
296,CENTRO OESTE,DISTRITO FEDERAL,1.936,2004-07-21,2004
297,NORTE,RONDONIA,2.458,2004-07-28,2004
298,SUL,SANTA CATARINA,2.185,2004-07-28,2004
299,NORTE,AMAZONAS,2.196,2004-07-28,2004
300,NORTE,AMAPA,2.401,2004-07-28,2004
301,NORTE,ACRE,2.545,2004-07-28,2004
302,NORDESTE,SERGIPE,2.103,2004-07-28,2004
303,NORDESTE,RIO GRANDE DO NORTE,2.099,2004-07-28,2004
304,NORTE,TOCANTINS,2.222,2004-07-28,2004
305,SUDESTE,ESPIRITO SANTO,2.129,2004-07-28,2004
306,SUDESTE,MINAS GERAIS,2.102,2004-07-28,2004
307,SUDESTE,RIO DE JANEIRO,2.157,2004-07-28,2004
308,SUDESTE,SAO PAULO,2.028,2004-07-28,2004
309,SUL,PARANA,2.11,2004-07-28,2004
310,SUL,RIO GRANDE DO SUL,2.275,2004-07-28,2004
311,NORDESTE,PIAUI,2.203,2004-07-28,2004
312,NORDESTE,PERNAMBUCO,2.079,2004-07-28,2004
313,NORTE,RORAIMA,2.111,2004-07-28,2004
314,NORTE,PARA,2.417,2004-07-28,2004
315,NORDESTE,PARAIBA,2.067,2004-07-28,2004
316,NORDESTE,MARANHAO,2.183,2004-07-28,2004
317,NORDESTE,BAHIA,2.212,2004-07-28,2004
318,NORDESTE,ALAGOAS,2.206,2004-07-28,2004
319,NORDESTE,CEARA,2.244,2004-07-28,2004
320,CENTRO OESTE,MATO GROSSO,2.518,2004-07-28,2004
321,CENTRO OESTE,GOIAS,2.109,2004-07-28,2004
322,CENTRO OESTE,DISTRITO FEDERAL,2.116,2004-07-28,2004
323,CENTRO OESTE,MATO GROSSO DO SUL,2.267,2004-07-28,2004
324,NORDESTE,PERNAMBUCO,2.07,2004-08-04,2004
325,NORTE,AMAZONAS,2.199,2004-08-04,2004
326,NORTE,AMAPA,2.376,2004-08-04,2004
327,NORTE,ACRE,2.54,2004-08-04,2004
328,NORDESTE,SERGIPE,2.103,2004-08-04,2004
329,NORDESTE,PIAUI,2.203,2004-08-04,2004
330,NORDESTE,PARAIBA,2.075,2004-08-04,2004
331,CENTRO OESTE,DISTRITO FEDERAL,2.135,2004-08-04,2004
332,NORDESTE,CEARA,2.287,2004-08-04,2004
333,NORDESTE,BAHIA,2.21,2004-08-04,2004
334,NORDESTE,ALAGOAS,2.217,2004-08-04,2004
335,CENTRO OESTE,MATO GROSSO DO SUL,2.289,2004-08-04,2004
336,CENTRO OESTE,MATO GROSSO,2.52,2004-08-04,2004
337,CENTRO OESTE,GOIAS,2.12,2004-08-04,2004
338,NORDESTE,MARANHAO,2.18,2004-08-04,2004
339,NORTE,PARA,2.418,2004-08-04,2004
340,NORTE,RONDONIA,2.47,2004-08-04,2004
341,NORTE,TOCANTINS,2.233,2004-08-04,2004
342,SUDESTE,ESPIRITO SANTO,2.129,2004-08-04,2004
343,SUDESTE,MINAS GERAIS,2.111,2004-08-04,2004
344,SUDESTE,RIO DE JANEIRO,2.162,2004-08-04,2004
345,SUDESTE,SAO PAULO,2.03,2004-08-04,2004
346,SUL,PARANA,2.117,2004-08-04,2004
347,SUL,RIO GRANDE DO SUL,2.281,2004-08-04,2004
348,SUL,SANTA CATARINA,2.188,2004-08-04,2004
349,NORTE,RORAIMA,2.083,2004-08-04,2004
350,NORDESTE,RIO GRANDE DO NORTE,2.097,2004-08-04,2004
351,NORTE,RORAIMA,2.136,2004-08-11,2004
352,NORTE,TOCANTINS,2.263,2004-08-11,2004
353,CENTRO OESTE,DISTRITO FEDERAL,2.117,2004-08-11,2004
354,SUDESTE,MINAS GERAIS,2.122,2004-08-11,2004
355,SUDESTE,RIO DE JANEIRO,2.171,2004-08-11,2004
356,SUDESTE,ESPIRITO SANTO,2.13,2004-08-11,2004
357,NORTE,AMAPA,2.401,2004-08-11,2004
358,NORTE,PARA,2.424,2004-08-11,2004
359,NORTE,RONDONIA,2.462,2004-08-11,2004
360,SUDESTE,SAO PAULO,2.034,2004-08-11,2004
361,SUL,PARANA,2.16,2004-08-11,2004
362,SUL,SANTA CATARINA,2.201,2004-08-11,2004
363,SUL,RIO GRANDE DO SUL,2.292,2004-08-11,2004
364,NORTE,ACRE,2.541,2004-08-11,2004
365,CENTRO OESTE,GOIAS,2.133,2004-08-11,2004
366,NORDESTE,SERGIPE,2.119,2004-08-11,2004
367,NORTE,AMAZONAS,2.205,2004-08-11,2004
368,NORDESTE,PIAUI,2.208,2004-08-11,2004
369,NORDESTE,RIO GRANDE DO NORTE,2.105,2004-08-11,2004
370,CENTRO OESTE,MATO GROSSO,2.531,2004-08-11,2004
371,CENTRO OESTE,MATO GROSSO DO SUL,2.315,2004-08-11,2004
372,NORDESTE,ALAGOAS,2.215,2004-08-11,2004
373,NORDESTE,BAHIA,2.221,2004-08-11,2004
374,NORDESTE,CEARA,2.29,2004-08-11,2004
375,NORDESTE,MARANHAO,2.182,2004-08-11,2004
376,NORDESTE,PARAIBA,2.081,2004-08-11,2004
377,NORDESTE,PERNAMBUCO,2.148,2004-08-11,2004
378,SUL,RIO GRANDE DO SUL,2.289,2004-08-18,2004
379,SUL,PARANA,2.162,2004-08-18,2004
380,SUDESTE,SAO PAULO,2.036,2004-08-18,2004
381,SUDESTE,RIO DE JANEIRO,2.178,2004-08-18,2004
382,SUDESTE,MINAS GERAIS,2.126,2004-08-18,2004
383,SUDESTE,ESPIRITO SANTO,2.131,2004-08-18,2004
384,NORTE,TOCANTINS,2.284,2004-08-18,2004
385,NORTE,RORAIMA,2.138,2004-08-18,2004
386,SUL,SANTA CATARINA,2.207,2004-08-18,2004
387,NORTE,AMAPA,2.403,2004-08-18,2004
388,NORTE,PARA,2.423,2004-08-18,2004
389,CENTRO OESTE,DISTRITO FEDERAL,2.12,2004-08-18,2004
390,CENTRO OESTE,GOIAS,2.14,2004-08-18,2004
391,CENTRO OESTE,MATO GROSSO,2.548,2004-08-18,2004
392,CENTRO OESTE,MATO GROSSO DO SUL,2.317,2004-08-18,2004
393,NORDESTE,ALAGOAS,2.209,2004-08-18,2004
394,NORDESTE,CEARA,2.284,2004-08-18,2004
395,NORDESTE,MARANHAO,2.188,2004-08-18,2004
396,NORDESTE,PARAIBA,2.094,2004-08-18,2004
397,NORDESTE,PERNAMBUCO,2.148,2004-08-18,2004
398,NORDESTE,PIAUI,2.213,2004-08-18,2004
399,NORDESTE,RIO GRANDE DO NORTE,2.11,2004-08-18,2004
400,NORDESTE,SERGIPE,2.125,2004-08-18,2004
401,NORTE,ACRE,2.549,2004-08-18,2004
402,NORTE,AMAZONAS,2.234,2004-08-18,2004
403,NORTE,RONDONIA,2.469,2004-08-18,2004
404,NORDESTE,BAHIA,2.227,2004-08-18,2004
405,SUL,SANTA CATARINA,2.207,2004-08-25,2004
406,SUL,RIO GRANDE DO SUL,2.283,2004-08-25,2004
407,SUL,PARANA,2.16,2004-08-25,2004
408,NORDESTE,PARAIBA,2.091,2004-08-25,2004
409,NORDESTE,MARANHAO,2.179,2004-08-25,2004
410,NORDESTE,CEARA,2.279,2004-08-25,2004
411,NORDESTE,BAHIA,2.228,2004-08-25,2004
412,NORDESTE,ALAGOAS,2.212,2004-08-25,2004
413,CENTRO OESTE,MATO GROSSO DO SUL,2.319,2004-08-25,2004
414,CENTRO OESTE,MATO GROSSO,2.56,2004-08-25,2004
415,CENTRO OESTE,GOIAS,2.148,2004-08-25,2004
416,CENTRO OESTE,DISTRITO FEDERAL,2.15,2004-08-25,2004
417,NORDESTE,PIAUI,2.208,2004-08-25,2004
418,NORDESTE,RIO GRANDE DO NORTE,2.116,2004-08-25,2004
419,NORDESTE,PERNAMBUCO,2.152,2004-08-25,2004
420,NORTE,ACRE,2.552,2004-08-25,2004
421,NORDESTE,SERGIPE,2.122,2004-08-25,2004
422,SUDESTE,SAO PAULO,2.035,2004-08-25,2004
423,NORTE,AMAPA,2.406,2004-08-25,2004
424,NORTE,AMAZONAS,2.238,2004-08-25,2004
425,NORTE,RONDONIA,2.464,2004-08-25,2004
426,NORTE,RORAIMA,2.147,2004-08-25,2004
427,NORTE,PARA,2.42,2004-08-25,2004
428,SUDESTE,ESPIRITO SANTO,2.122,2004-08-25,2004
429,SUDESTE,MINAS GERAIS,2.127,2004-08-25,2004
430,SUDESTE,RIO DE JANEIRO,2.178,2004-08-25,2004
431,NORTE,TOCANTINS,2.289,2004-08-25,2004
432,CENTRO OESTE,MATO GROSSO,2.561,2004-09-01,2004
433,CENTRO OESTE,DISTRITO FEDERAL,2.149,2004-09-01,2004
434,CENTRO OESTE,GOIAS,2.148,2004-09-01,2004
435,CENTRO OESTE,MATO GROSSO DO SUL,2.319,2004-09-01,2004
436,NORDESTE,BAHIA,2.226,2004-09-01,2004
437,NORDESTE,PARAIBA,2.092,2004-09-01,2004
